tx_id,user_id,amount,currency,merchant,category,timestamp
6418ca97-9fab-47ce-92f5-b4399c5b3dfa,2d300b27-7da2-4d1d-b4aa-6c08f1479f98,773.5,USD,"Diaz, Weeks and Winters",utilities,2025-08-13T22:25:40
69c67f2e-bc0f-4659-aacc-33b6742029e1,cc35c177-bf47-45e9-9f6c-f32197413705,927.92,USD,Browning-Farmer,entertainment,2025-08-22T20:51:37
f4e6bcda-71d5-4b76-995b-7b0a743a2cb7,e678d8c3-73de-46fe-be5d-b913a71e76a5,416.78,USD,Brown Group,utilities,2025-08-20T05:14:32
ec4395fe-9b57-4480-89d0-cd941cebe0ce,a0cf1a08-b6b8-4520-bffb-fa11ee0b2b2c,1218.26,USD,Taylor-Nichols,entertainment,2025-08-03T18:51:31
74737531-f305-467a-9fdd-b4b3d8732d61,a0cf1a08-b6b8-4520-bffb-fa11ee0b2b2c,1150.94,USD,"Powell, Moran and Farrell",health,2025-08-25T05:55:18
a9f40135-ec1b-4eaf-a8b3-b523b4a018e4,233a8b81-1ced-4cfd-8cab-dedd86cb56d8,-154.78,USD,Jenkins-Valenzuela,rent,2025-08-16T12:58:51
13c450fc-ed2f-4e69-8fbe-72d652205ef9,e381d132-c549-47f2-acbe-eaba060618c2,1668.42,USD,"Hudson, Ramsey and Thomas",transport,2025-08-04T01:16:52
f759f035-8c32-44d8-be03-c2cf0cb03109,0d634440-fb97-4c96-8709-e1bd44725c20,1606.39,USD,Harrison Inc,groceries,2025-08-26T14:00:03
f1b337a0-3768-4350-8426-3f122144be04,a10a6769-6810-4eda-a123-c04e46fe14cf,177.31,USD,Garcia-Green,transport,2025-08-07T10:23:00
aace9bb1-bc17-41a6-bda9-410a02acc7a5,5c63c495-a740-4805-b442-2488a4c0fc33,84.65,USD,"Kidd, George and Mendoza",groceries,2025-08-18T07:04:18
db1a6cec-5dea-4d0b-a137-0606050d896e,84f2c76e-fa5e-44c6-bfdb-8c210df71363,31.19,USD,"Serrano, Rosario and White",transport,2025-08-27T03:05:15
0a87a7e3-8291-4059-9dbf-77a1aaa4e54e,a10a6769-6810-4eda-a123-c04e46fe14cf,86.44,USD,Yu Ltd,rent,2025-08-04T03:02:30
01e0e91d-3e21-44b9-a27f-50d90b469649,6af9782e-ed76-4028-b140-aadcf90a7c83,473.18,USD,Davis-Pearson,health,2025-08-26T07:33:02
a4030821-c05f-4bb7-b15b-d66265f29476,ab0a0027-73e1-461b-b9b3-31a765fe121d,1999.75,USD,Baker LLC,health,2025-08-14T16:55:49
ac721cb4-135a-42c2-9563-6de1dbf9a774,39d7bdb3-e80a-46db-870a-d46f41665a0f,278.2,USD,Snyder Group,salary,2025-08-26T20:02:04
c83e89e7-7fec-4a14-a97c-3b5ab41a1a58,8990d8f3-6639-4de0-a0ea-b35e8dfd2bd7,-38.73,USD,Alexander Ltd,salary,2025-08-22T04:38:07
afba86b3-bdad-49db-bc7f-83e841b57f28,50e54a38-794b-412f-a459-7de29ce1bb36,408.11,USD,"Rivera, Hanna and Obrien",groceries,2025-08-05T19:00:10
b474dac9-186f-466c-9819-ab91e6ac1861,787ff9da-1903-469a-a06e-3f528b11ae11,1322.75,USD,Gill-Nelson,transport,2025-08-26T18:50:28
37fb699d-d798-494e-be0b-3d065f06f921,2d300b27-7da2-4d1d-b4aa-6c08f1479f98,507.77,USD,"Henry, Jones and Nunez",utilities,2025-08-13T16:30:20
846b4ceb-f0c9-450b-8d5e-440fe0552ee0,39d7bdb3-e80a-46db-870a-d46f41665a0f,1920.48,USD,"Lamb, Vazquez and Smith",transport,2025-08-26T04:59:34
ba64a520-613f-4e2f-b3c3-3fca70994ab3,ab0a0027-73e1-461b-b9b3-31a765fe121d,283.11,USD,"Martin, Vance and Cohen",health,2025-08-03T21:41:25
92593472-114a-4889-8631-bb1e88f25e3a,6af9782e-ed76-4028-b140-aadcf90a7c83,522.39,USD,"Johnson, Young and Brown",transport,2025-08-21T15:00:01
e46b520a-d449-4d14-9069-549aa36e2598,e08dbd3a-9216-4be0-8d52-6bed03716d10,545.98,USD,"Johnson, Flores and Porter",groceries,2025-08-16T19:20:38
12477420-7ae7-4716-93cb-faeadce81dae,35a3f489-e8a0-46fd-ba75-0aa44a6b420e,226.47,USD,Smith-Taylor,transport,2025-08-13T12:39:05
ebef9187-bc0c-4098-87ed-42a80d1d7868,e08dbd3a-9216-4be0-8d52-6bed03716d10,19.14,USD,Lee-Black,utilities,2025-08-25T13:39:13
64644edb-5662-4e2a-86d5-aefea7e3356e,b81c531a-504a-4a60-b966-7965bd5663a2,1354.86,USD,"Clarke, Cuevas and Herrera",salary,2025-08-03T04:00:34
7e281ac4-55ec-4404-b506-c1664d24abd8,59a59ff1-435d-43ee-87d8-868e96b5cb24,341.94,USD,Bryant-Barker,utilities,2025-08-09T13:10:56
fd7e1621-35d6-468e-a2c1-ad10960417f7,5c63c495-a740-4805-b442-2488a4c0fc33,367.15,USD,Howell-Howard,salary,2025-08-08T17:00:41
3cef1f03-2820-457c-9dd7-16d895511ebb,a0cf1a08-b6b8-4520-bffb-fa11ee0b2b2c,1824.12,USD,"Stone, Simmons and Barry",utilities,2025-08-09T17:57:33
b5aa562c-a2da-4f02-a152-59900a080e75,cb40f9cc-88b7-410a-b722-cb802399956f,1995.33,USD,Kelley Group,transport,2025-08-02T10:36:01
0ed3e06d-3962-457d-b141-37d03c55b486,c80286a0-f5c5-4b00-a639-73caae1e53e9,1707.94,USD,Flores and Sons,transport,2025-08-11T22:15:18
ca99ce11-0af2-49e5-9471-d367419f56a7,73156a99-0262-46b3-9b2c-363f6e40f6fd,1012.94,USD,"Gonzalez, Banks and Ford",rent,2025-08-14T15:31:15
913b4f83-a9d8-42cc-bda6-2079041cea17,9fe349eb-0244-46a1-ab5e-c10b049a819a,1723.73,USD,Bryan-Burns,health,2025-08-28T20:50:24
fec2378b-5d3a-4e40-b26b-5e357797b86e,ab0a0027-73e1-461b-b9b3-31a765fe121d,-33.74,USD,"Ross, Hamilton and Benson",transport,2025-08-12T18:38:50
63b9eca9-c569-4dad-bef7-ecbf19d6d4a2,0f1e58d9-7e55-475f-9e60-e140081aad9c,343.19,USD,Williams-Welch,utilities,2025-08-04T14:15:49
16ea6e07-2607-4f64-8d6e-3c49bbefbd5d,84f2c76e-fa5e-44c6-bfdb-8c210df71363,-126.97,USD,Glover and Sons,rent,2025-08-06T01:43:39
6816bb5c-66c8-4f3a-8c29-84c9663f7d34,376a9a5a-f538-4103-927b-c2513767065b,-178.93,USD,Howard-Cross,transport,2025-08-21T08:08:46
4b10b830-f939-4787-a543-f20b44047071,35a3f489-e8a0-46fd-ba75-0aa44a6b420e,1464.82,USD,"Martinez, Edwards and Patel",transport,2025-08-10T09:56:40
4bf219af-e63e-4c07-b23a-49e71fe1a292,e678d8c3-73de-46fe-be5d-b913a71e76a5,1471.9,USD,Peterson LLC,salary,2025-08-06T13:38:26
721a4ce1-86d9-4377-a2cb-23f2029bd7cc,6af9782e-ed76-4028-b140-aadcf90a7c83,-140.97,USD,Watson Group,rent,2025-08-02T05:21:43
1c9138dc-2b4c-410e-9c53-cdbfa817271b,376a9a5a-f538-4103-927b-c2513767065b,233.39,USD,Walker-Allen,groceries,2025-08-15T01:16:29
50f333d1-b4dd-4378-8c27-ae46f4a5a84a,ab0a0027-73e1-461b-b9b3-31a765fe121d,337.04,USD,White Ltd,salary,2025-08-13T08:33:02
34a33ff2-7fa1-4529-8cba-2d0a5efddeb5,233a8b81-1ced-4cfd-8cab-dedd86cb56d8,222.74,USD,Williams-Morris,transport,2025-08-19T08:29:13
74fb4f38-b82e-43cf-a5e3-a47d66e22993,dc30ed08-5b25-4bba-83f0-171a73b8e859,1083.78,USD,Robinson and Sons,rent,2025-08-26T08:22:57
